,Url,Price,Room,Surface,Bathroom,Floor
8061,https://www.immobiliare.it/69799230-Vendita-Monolocale-via-delle-Ciliegie-Roma.html,€ 109.000,1 ,40,1 ,1
8062,https://www.immobiliare.it/60770194-Vendita-Trilocale-via-della-Sierra-Nevada-Roma.html,€ 574.500,3 ,85,2 ,1
8063,https://www.immobiliare.it/68052419-Vendita-Trilocale-piazza-Scotti-Roma.html,€ 350.000,3 ,95,1 ,1
8064,https://www.immobiliare.it/69316614-Vendita-Trilocale-viale-guglielmo-marconi-Roma.html,€ 220.000,3 ,83,1 ,1
8065,https://www.immobiliare.it/69081218-Vendita-Quadrilocale-via-dei-Castani-Roma.html,€ 289.000,4 ,120,1 ,3
8066,https://www.immobiliare.it/69742978-Vendita-Quadrilocale-via-dei-Cybo-Roma.html,€ 329.000,4 ,120,2 ,1
8067,https://www.immobiliare.it/69923580-Vendita-Appartamento-via-DI-PORTA-FABBRICA-Roma.html,€ 529.000,5 ,140,2 ,2
8068,https://www.immobiliare.it/69916510-Vendita-Appartamento-via-dell-Arco-del-Monte-Roma.html,€ 1.450.000,5+ ,200,2 ,2
8069,https://www.immobiliare.it/44433980-Vendita-Trilocale-via-Prenestina-25-Roma.html,€ 270.000,3 ,85,1 ,4
8070,https://www.immobiliare.it/69571488-Vendita-Quadrilocale-via-appia-Roma.html,Prezzo su richiesta,4 ,75,2 ,4
8071,https://www.immobiliare.it/69352098-Vendita-Appartamento-via-Angelo-Secchi-Roma.html,€ 1.000.000,5 ,238,3 ,1
8072,https://www.immobiliare.it/68168699-Vendita-Attico-Mansarda-via-Marcello-Pucci-Boncambi-15-Roma.html,€ 330.000,3 ,100,1 ,6
8073,https://www.immobiliare.it/60095738-Vendita-Appartamento-via-Simone-Martini-Roma.html,€ 1.200.000,5 ,200,3 ,3
8074,https://www.immobiliare.it/70257222-appartamento-in-asta-via-Piave-7-Roma.html,da € 960.960,1 ,6 ,237,5
8075,https://www.immobiliare.it/69874402-Vendita-Bilocale-viale-ETIOPIA-34-Roma.html,€ 275.000,2 ,75,1 ,4
8076,https://www.immobiliare.it/69571330-Vendita-Quadrilocale-viale-dei-Romagnoli-75-Roma.html,€ 239.000,4 ,133,1 ,3
8077,https://www.immobiliare.it/69534828-Vendita-Bilocale-via-del-Governo-Vecchio-Roma.html,€ 327.000,€ 884,884,al mese,3
8078,https://www.immobiliare.it/70194760-Vendita-Trilocale-via-Capo-Passero-Roma.html,€ 199.000,3 ,102,1 ,1
8079,https://www.immobiliare.it/69711278-appartamento-in-asta-via-Otranto-36-Roma.html,da € 320.775,1 ,5 ,105,2
8080,https://www.immobiliare.it/63056184-Vendita-Attico-Mansarda-via-Clemente-X-Roma.html,€ 210.000,2 ,70,1 ,4
8081,https://www.immobiliare.it/70345808-appartamento-in-asta-via-del-Pantheon-57-Roma.html,da € 234.000,1 ,2 ,47,3
8082,https://www.immobiliare.it/68514943-Vendita-Appartamento-via-Sierra-Nevada-Roma.html,€ 1.200.000,5+ ,250,2 ,2
8083,https://www.immobiliare.it/70174204-Vendita-Trilocale-via-Silvio-Benco-Roma.html,€ 229.000,3 ,90,1 ,3
8084,https://www.immobiliare.it/68110575-Vendita-Bilocale-via-Aversa-Roma.html,€ 185.000,2 ,68,2 ,1
8085,https://www.immobiliare.it/68321791-Vendita-Quadrilocale-via-Flaminia-952-Roma.html,€ 440.000,4 ,125,2 ,1
8086,https://www.immobiliare.it/68903015-Vendita-Trilocale-via-campora-Roma.html,€ 360.000,€ 974,974,al mese,3
8087,https://www.immobiliare.it/70299284-Vendita-Appartamento-via-BERTOLONI-Roma.html,€ 1.150.000,5+ ,165,3 ,2
8088,https://www.immobiliare.it/68913159-Vendita-Trilocale-via-Giuseppe-Di-Vittorio-17-Roma.html,€ 234.000,3 ,83,1 ,1
8089,https://www.immobiliare.it/70218630-Vendita-Trilocale-via-Servilia-Roma.html,€ 190.000,3 ,80,1 ,3
8090,https://www.immobiliare.it/69196878-Vendita-Trilocale-via-italo-carlo-falbo-Roma.html,€ 245.000,3 ,72,1 ,2
8091,https://www.immobiliare.it/67576355-Vendita-Trilocale-via-italo-carlo-falbo-Roma.html,€ 245.000,3 ,72,1 ,2
8092,https://www.immobiliare.it/69240776-Vendita-Bilocale-via-Cesare-Lombroso-Roma.html,€ 175.000,2 ,41,1 ,4
8093,https://www.immobiliare.it/49987807-Vendita-Monolocale-via-Maria-Luigia-Tancredi-Roma.html,€ 145.400,1 ,50,1 ,3
8094,https://www.immobiliare.it/69890254-Vendita-Quadrilocale-piazza-zama-Roma.html,€ 450.000,4 ,125,2 ,2
8095,https://www.immobiliare.it/67423293-Vendita-Trilocale-via-Val-Pellice-Roma.html,€ 410.000,3 ,100,2 ,2
8096,https://www.immobiliare.it/64693010-Vendita-Bilocale-via-Giuseppe-Lucchetti-Rossi-Roma.html,€ 260.000,2 ,62,1 ,5
8097,https://www.immobiliare.it/68551767-Vendita-Quadrilocale-via-guglielmo-albimonte-Roma.html,€ 265.000,4 ,120,1 ,5
8098,https://www.immobiliare.it/69992512-Vendita-Quadrilocale-via-Curzio-Malaparte-Roma.html,€ 309.000,4 ,125,2 ,4
8099,https://www.immobiliare.it/68889555-Vendita-Trilocale-via-Domenico-Comparetti-Roma.html,€ 315.000,3 ,90,1 ,3
8100,https://www.immobiliare.it/62686618-Vendita-Trilocale-via-di-Casal-dei-Pazzi-Roma.html,€ 250.000,3 ,80,1 ,2
8101,https://www.immobiliare.it/70280180-appartamento-in-asta-via-Principe-Amedeo-149-Roma.html,da € 402.750,1 ,4 ,157,6
8102,https://www.immobiliare.it/68927029-Vendita-Appartamento-via-Piave-Roma.html,€ 690.000,5+ ,150,3+ ,4
8103,https://www.immobiliare.it/54117710-Vendita-Trilocale-via-Tergu-Roma.html,€ 230.000,3 ,100,2 ,3
8104,https://www.immobiliare.it/68481781-Vendita-Quadrilocale-largo-Antigono-Roma.html,€ 390.000,4 ,120,2 ,1
8105,https://www.immobiliare.it/52734912-Vendita-Trilocale-via-filippo-turati-Roma.html,€ 305.000,3 ,57,1 ,5
8106,https://www.immobiliare.it/58314109-Vendita-Bilocale-via-Lima-53-Roma.html,€ 580.000,2 ,68,1 ,1
8107,https://www.immobiliare.it/69242206-Vendita-Trilocale-via-delle-Baleari-70-Roma.html,€ 195.000,€ 527,527,al mese,1
8108,https://www.immobiliare.it/70163312-Vendita-Bilocale-via-Cesare-Algranati-Roma.html,€ 199.000,2 ,70,1 ,1
8109,https://www.immobiliare.it/69754630-appartamento-in-asta-via-Giuseppe-Cei-32-Roma.html,da € 86.400,1 ,2 ,81,2
8110,https://www.immobiliare.it/70065162-Vendita-Trilocale-via-Arnaldo-Fraccaroli-Roma.html,€ 310.000,3 ,110,2 ,7
8111,https://www.immobiliare.it/69832952-Vendita-Appartamento-via-della-Maratona-Roma.html,€ 600.000,5+ ,162,2 ,2
8112,https://www.immobiliare.it/65723027-Vendita-Appartamento-via-di-Porta-Pinciana-Roma.html,€ 1.839.000,5+ ,250,3 ,2
8113,https://www.immobiliare.it/64705498-Vendita-Trilocale-via-Flaminia-Roma.html,€ 540.000,3 ,92,1 ,2
8114,https://www.immobiliare.it/69942940-Vendita-Attico-Mansarda-via-Merulana-117-Roma.html,€ 880.000,5 ,130,1 ,5
8115,https://www.immobiliare.it/66260759-Vendita-Appartamento-via-Giovanni-Paisiello-Roma.html,€ 2.000.000,5+ ,270,3+ ,3
8116,https://www.immobiliare.it/70368666-Vendita-Attico-Mansarda-via-Francesco-Saverio-Nitti-Roma.html,€ 1.150.000,5+ ,220,3 ,5
